column_name,column_type,dev_notes
source,str,FIND - Source identifier from brief e.g. bolagsverket_se
country,str,FIND - ISO-3166 alpha-2
name,str,FIND - Entity name
address,str,FIND - Full address as shown
date,str,PROCESS - ISO-8601 UTC scrape timestamp
source_url,str,FIND - Canonical page URL for this record
phone,str,FIND
website,str,FIND
cuisine,str,FIND - Category tags if applicable
price_range,str,FIND
hours,str,FIND
lat,float,FIND
lng,float,FIND
rating,float,FIND
rating_count,int,FIND
registration_number,str,FIND
licence_expiry,str,FIND
city,str,FIND
postal_code,str,FIND
